#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-29.51999999999977            -1079.318596684935            -6.947220576591917e-14        -7.154971060074899e-13        -485.6300080767875            
-29.50999999999977            -1079.233135089747            -8.796019468348959e-13        -7.351341757555474e-13        -493.6678729218593            
-29.49999999999977            -1079.146281054092            -3.066991105526995e-13        -8.15493506056697e-13         -501.5860196639894            
-29.48999999999976            -1079.058055565638            -7.509548538564559e-13        -1.613847944170743e-12        -509.3833935977015            
-29.47999999999976            -1078.756717702503            3.412825577697731e-13         -8.593611933171985e-13        -488.8437474814283            
-29.46999999999976            -1078.670685744248            -1.657562975765359e-13        -1.549343986440022e-12        -496.9875005236345            
-29.45999999999976            -1078.583244168027            -2.746691762922637e-13        -8.154588115871775e-13        -504.9966671367387            
-29.44999999999976            -1078.494416520791            -1.994515663739094e-13        -1.196827359439823e-12        -512.8706014708595            
-29.43999999999976            -1078.404226457242            1.569466778761353e-12         -3.378686219690508e-13        -520.6087146579332            
-29.42999999999975            -1078.31269772992             -9.015566071468584e-13        -1.76550440933454e-12         -528.2104742961322            
-29.41999999999975            -1078.219854179399            1.589839371263224e-13         -1.002357918888919e-12        -535.6754038564145            
-29.40999999999975            -1078.125719724603            1.155131545971244e-12         -1.141725602948895e-13        -543.0030820117514            
-29.39999999999975            -1078.030318353221            8.471556789402257e-13         -8.36435087858689e-13         -550.1931418887042            
-29.38999999999975            -1077.93367411228             -5.169753514167041e-13        -8.870057466303649e-13        -557.2452702420878            
-29.37999999999975            -1077.835811098868            -1.932343174360085e-13        -1.135036509225529e-12        -564.1592065530094            
-29.36999999999975            -1077.736753451014            5.998535002049721e-13         -8.671605100651902e-13        -570.9347420505562            
-29.35999999999974            -1077.636525338737            -7.081002451059248e-13        -1.454732168060247e-12        -577.5717186575023            
-29.34999999999974            -1077.535150955311            -3.589351038613131e-13        -1.229981394512691e-12        -584.0700278611852            
-29.33999999999974            -1077.432654508703            -2.326472348102016e-13        -1.197694721177811e-12        -590.4296095094097            
-29.32999999999974            -1077.329060213258            -4.781730567060549e-13        -3.403666237744574e-13        -596.6504505329137            
-29.31999999999974            -1077.224392281586            5.534461777756405e-14         -6.852990397376857e-13        -602.7325835943964            
-29.30999999999974            -1077.118674916709            5.199729535831921e-13         -1.028094276378511e-12        -608.6760856651892            
-29.29999999999973            -1077.011932304461            5.679900993982301e-13         -9.381662113838729e-13        -614.4810765311444            
-29.28999999999973            -1076.904188606139            1.587618925213974e-12         -1.129651927556097e-13        -620.1477172273062            
-29.27999999999973            -1076.795467951461            -1.311950548199547e-12        -9.971190539914687e-13        -625.6762084038966            
-29.26999999999973            -1076.685794431783            -1.461053500406706e-13        -1.032951502111246e-12        -631.0667886236808            
-29.25999999999973            -1076.57519209365             -1.01241237615568e-12         -3.757549826843842e-13        -636.3197325924617            
-29.24999999999973            -1076.463684932638            -6.379341499496149e-13        -8.025385911381022e-13        -641.4353493234489            
-29.23999999999972            -1076.351296887533            4.030109579389318e-13         -6.168537902695448e-13        -646.4139802372282            
-29.22999999999972            -1076.238051834849            -1.541655691994492e-12        -1.294103713078698e-12        -651.2559971987466            
-29.21999999999972            -1076.123973583684            1.665334536937735e-15         -9.337114414975645e-13        -655.9618004919527            
-29.20999999999972            -1076.009085870947            -4.789502128232925e-13        -9.593159600029821e-13        -660.5318167347638            
-29.19999999999972            -1075.893412356947            -3.855804564523169e-13        -4.294620215006262e-13        -664.9664967349388            
-29.18999999999972            -1075.776976621354            1.02917674382752e-12          -6.259853746470867e-13        -669.2663132887077            
-29.17999999999972            -1075.659802159573            2.073896609999792e-13         -3.076150445480152e-13        -673.4317589245139            
-29.16999999999971            -1075.541912379484            2.19557705349871e-12          -4.234529393798425e-13        -677.4633435922572            
-29.15999999999971            -1075.423330598623            5.666578317686799e-13         9.911516052341085e-14         -681.3615923012223            
-29.14999999999971            -1075.304080041749            6.025180354640725e-13         -5.495048860382212e-13        -685.1270427074995            
-29.13999999999971            -1075.184183838864            1.904032487232143e-13         -1.112637759703716e-12        -688.7602426535186            
